title,views,url,id,dateCreated
What are dynamic approver due dates?,7766,https://support.procore.com/faq/what-are-dynamic-approver-due-dates,55522,"Thu, 01 Aug 2019 18:44:45 GMT"
What’s the difference between sequential and parallel approval in the submittal workflow?,7607,https://support.procore.com/faq/whats-the-difference-between-sequential-and-parallel-approval-in-the-submittal-workflow,3863,"Tue, 11 Aug 2015 23:27:28 GMT"
Who receives an email when a submittal is created or updated?,7485,https://support.procore.com/faq/who-receives-an-email-when-a-submittal-is-created-or-updated,945,"Mon, 02 Feb 2015 21:55:27 GMT"
What is blind bidding?,7461,https://support.procore.com/faq/what-is-blind-bidding,3406,"Mon, 22 Jun 2015 16:48:16 GMT"
"Which fields on the create or update project page can be configured as required, optional, or hidden?",7426,https://support.procore.com/faq/which-fields-on-the-create-or-update-project-page-can-be-configured-as-required-optional-or-hidden,66960,"Thu, 09 Jan 2020 16:32:31 GMT"
How can I use tax codes on a Procore project?,7330,https://support.procore.com/faq/how-can-i-use-tax-codes-on-a-procore-project,41377,"Fri, 09 Nov 2018 18:57:03 GMT"
Who receives a notification for updates in the Drawings tool?,7294,https://support.procore.com/faq/who-receives-a-notification-for-updates-in-the-drawings-tool,47821,"Wed, 06 Mar 2019 00:00:06 GMT"
What is the RFI Manager role?,7179,https://support.procore.com/faq/what-is-the-rfi-manager-role,14837,"Thu, 09 Feb 2017 17:04:56 GMT"
What are multi-tiered locations?,7177,https://support.procore.com/faq/what-are-multi-tiered-locations,4515,"Thu, 15 Oct 2015 17:03:12 GMT"
What is an assignable permissions template?,7096,https://support.procore.com/faq/what-is-an-assignable-permissions-template,19854,"Tue, 13 Jun 2017 16:40:19 GMT"
What is an RFI?,7033,https://support.procore.com/faq/what-is-an-rfi,1704,"Mon, 02 Mar 2015 17:03:30 GMT"
What does each permission level mean?,6863,https://support.procore.com/faq/what-does-each-permission-level-mean,2610,"Thu, 07 May 2015 21:44:54 GMT"
Why isn't my project weather working?,6849,https://support.procore.com/faq/why-isnt-my-project-weather-working,4513,"Thu, 15 Oct 2015 16:43:47 GMT"
What is the difference between personal and published drawing markups?,6822,https://support.procore.com/faq/what-is-the-difference-between-personal-and-published-drawing-markups,999,"Tue, 03 Feb 2015 18:53:05 GMT"
Why can't I create or activate Procore projects?,6722,https://support.procore.com/faq/why-cant-i-create-or-activate-procore-projects,19242,"Mon, 05 Jun 2017 23:37:06 GMT"
How do I invite users and collaborators to my company's Procore account?,6621,https://support.procore.com/faq/how-do-i-invite-users-and-collaborators-to-my-companys-procore-account,7266,"Wed, 13 Apr 2016 07:08:13 GMT"
How do I add a multi-tiered location to an item?,6597,https://support.procore.com/faq/how-do-i-add-a-multi-tiered-location-to-an-item,4509,"Wed, 14 Oct 2015 23:30:25 GMT"
What is the unpublished status on drawings?,6364,https://support.procore.com/faq/what-is-the-unpublished-status-on-drawings,22989,"Thu, 10 Aug 2017 22:14:43 GMT"
What is Single Sign-On (SSO)?,6334,https://support.procore.com/faq/what-is-single-sign-on-sso,5073,"Wed, 06 Jan 2016 00:46:30 GMT"
What are the DocuSign® fields and can I customize them?,6184,https://support.procore.com/faq/what-are-the-docusign-fields-and-can-i-customize-them,28372,"Thu, 25 Jan 2018 21:15:54 GMT"
Can I provide users with 'Read-Only' level permissions with limited access to update information in Procore?,6053,https://support.procore.com/faq/can-i-provide-users-with-read-only-level-permissions-with-limited-access-to-update-information-in-procore,22978,"Thu, 10 Aug 2017 17:47:05 GMT"
How do I manage the storage the Procore mobile app is using on my device?,5955,https://support.procore.com/faq/how-do-i-manage-the-storage-the-procore-mobile-app-is-using-on-my-device,7094,"Mon, 28 Mar 2016 20:34:24 GMT"
What is Bluebeam Studio?,5887,https://support.procore.com/faq/what-is-bluebeam-studio,15927,"Tue, 28 Mar 2017 23:26:50 GMT"
What is a submittal revision?,5827,https://support.procore.com/faq/what-is-a-submittal-revision,862,"Thu, 29 Jan 2015 23:26:47 GMT"
How are submittals numbered in Procore?,5782,https://support.procore.com/faq/how-are-submittals-numbered-in-procore,7612,"Mon, 02 May 2016 15:57:41 GMT"
Why am I receiving an error message in the Procore Imports app?,5709,https://support.procore.com/faq/why-am-i-receiving-an-error-message-in-the-procore-imports-app,35870,"Wed, 11 Jul 2018 22:43:29 GMT"
What is the 'Submittal Manager' role?,5692,https://support.procore.com/faq/what-is-the-submittal-manager-role,23444,"Wed, 23 Aug 2017 15:56:07 GMT"
Can I copy one project's Documents folders to a new project?,5662,https://support.procore.com/faq/can-i-copy-one-projects-folders-to-a-new-project,1872,"Thu, 05 Mar 2015 18:39:21 GMT"
How can I use the '[Procore] Jobsite Cleanliness and Preparedness Checklist' inspection template on my project?,5653,https://support.procore.com/faq/how-can-i-use-the-procore-jobsite-cleanliness-and-preparedness-checklist-inspection-template-on-my-project,75625,"Fri, 27 Mar 2020 00:35:44 GMT"
Why do I not have permission to view this web page?,5504,https://support.procore.com/faq/why-do-i-not-have-permission-to-view-this-web-page,19898,"Wed, 14 Jun 2017 23:12:19 GMT"
Where and how does Procore store customer information?,5489,https://support.procore.com/faq/where-and-how-does-procore-store-customer-information,2295,"Fri, 03 Apr 2015 19:45:08 GMT"
What are 'cost types' and how does our ERP integration support them?,5337,https://support.procore.com/faq/what-are-cost-types-and-how-does-our-erp-integration-support-them,13136,"Wed, 04 Jan 2017 22:53:08 GMT"
What is Procore BIM?,5287,https://support.procore.com/faq/what-is-procore-bim,54344,"Mon, 15 Jul 2019 18:10:26 GMT"
What are custom project roles?,5255,https://support.procore.com/faq/what-are-custom-project-roles,14931,"Mon, 13 Feb 2017 23:45:49 GMT"
Why are the weather conditions not showing on my Daily Log weather log?,5237,https://support.procore.com/faq/why-are-the-weather-conditions-not-showing-on-my-daily-log-weather-log,1562,"Tue, 24 Feb 2015 19:48:54 GMT"
What is a construction project's schedule?,5221,https://support.procore.com/faq/what-is-a-construction-projects-schedule,1865,"Thu, 05 Mar 2015 00:58:29 GMT"
What is Procore's Recycle Bin?,5213,https://support.procore.com/faq/what-is-procores-recycle-bin,810,"Wed, 28 Jan 2015 01:28:04 GMT"
How do I share feedback with Procore?,5119,https://support.procore.com/faq/how-do-i-share-feedback-with-procore,2638,"Mon, 11 May 2015 16:48:08 GMT"
Which budget views should I add to my Procore projects?,5118,https://support.procore.com/faq/which-budget-views-should-i-add-to-my-projects,16318,"Tue, 11 Apr 2017 20:59:49 GMT"
How do I change companies in Procore's navigation bar?,5111,https://support.procore.com/faq/how-do-i-change-companies-in-procores-navigation-bar,16111,"Tue, 04 Apr 2017 22:25:39 GMT"
How do I download Procore's iOS mobile application?,5072,https://support.procore.com/faq/how-do-i-download-the-procore-ios-mobile-application,4143,"Wed, 09 Sep 2015 20:18:11 GMT"
Why are my files not syncing with Procore Sync?,5047,https://support.procore.com/faq/why-are-my-files-not-syncing-with-procore-sync,21119,"Tue, 27 Jun 2017 22:29:52 GMT"
How do I add people to the submittal workflow?,4984,https://support.procore.com/faq/how-do-i-add-people-to-the-submittal-workflow,28118,"Tue, 16 Jan 2018 16:46:27 GMT"
Can I rotate a drawing in Procore?,4960,https://support.procore.com/faq/can-i-rotate-a-drawing-in-procore,5071,"Wed, 06 Jan 2016 00:33:10 GMT"
Who can view a 'Draft' RFI?,4930,https://support.procore.com/faq/who-can-view-a-draft-rfi,22955,"Wed, 09 Aug 2017 16:02:10 GMT"
