title,views,url,id,dateCreated
Approve or Reject an Invoice in Portfolio Financials,429,https://support.procore.com/products/portfolio-financials/user-guide/contract-room/tutorials/approve-or-reject-an-invoice-in-portfolio-financials,95514,"Thu, 03 Sep 2020 22:19:15 GMT"
Edit a Commitment's Schedule of Values (Android),429,https://support.procore.com/procore-mobile-android/user-guide/commitments-android/tutorials/edit-a-commitments-schedule-of-values-android,34910,"Wed, 13 Jun 2018 18:05:33 GMT"
Customize the Column Display in the Company Level Timesheets Tool,428,https://support.procore.com/products/online/user-guide/company-level/timesheets/tutorials/customize-the-column-display-in-the-company-level-timesheets-tool,47722,"Mon, 04 Mar 2019 19:33:10 GMT"
Remove a Batch of Companies from a Project Directory,427,https://support.procore.com/products/online/user-guide/project-level/directory/tutorials/remove-a-batch-of-companies-from-a-project-directory,43539,"Fri, 14 Dec 2018 21:52:40 GMT"
Export Company Level Inspection Templates as a PDF,425,https://support.procore.com/products/online/user-guide/company-level/inspections/tutorials/export-company-level-inspection-templates-as-a-pdf,23731,"Wed, 30 Aug 2017 22:55:05 GMT"
Approve a Timesheet (iOS),424,https://support.procore.com/procore-mobile-ios/user-guide/timesheets-ios/tutorials/approve-a-timesheet,122734,"Wed, 17 Mar 2021 22:46:04 GMT"
Enable Participation in Procore User Surveys,421,https://support.procore.com/products/online/user-guide/company-level/admin/tutorials/enable-participation-in-procore-user-surveys,37124,"Tue, 07 Aug 2018 21:14:23 GMT"
Search for and Filter Drawings (Android),418,https://support.procore.com/procore-mobile-android/user-guide/drawings-android/tutorials/search-for-and-filter-drawings-android,6934,"Fri, 18 Mar 2016 23:25:09 GMT"
Add Scheduled Work Entries (iOS),418,https://support.procore.com/procore-mobile-ios/user-guide/daily-log-ios/tutorials/add-scheduled-work-entries-ios,10711,"Thu, 08 Sep 2016 23:09:28 GMT"
Print a Folder or File (iOS),417,https://support.procore.com/procore-mobile-ios/user-guide/documents-ios/tutorials/print-a-folder-or-file-ios,8655,"Wed, 22 Jun 2016 18:39:59 GMT"
Integration by Procore: Export a Procore Budget to Viewpoint® Spectrum®,417,https://support.procore.com/integrations/integration-by-procore/tutorials/export-a-procore-budget-to-viewpoint-spectrum,14141,"Mon, 30 Jan 2017 22:08:53 GMT"
Retrieve a Subcontractor Invoice from ERP Integrations Before Acceptance,416,https://support.procore.com/integrations/quickbooks/tutorials/retrieve-a-subcontractor-invoice-from-erp-integrations-before-acceptance,38721,"Fri, 14 Sep 2018 18:08:29 GMT"
Group Inspections on the List Page,416,https://support.procore.com/products/online/user-guide/project-level/inspections/tutorials/group-inspections-on-the-list-page,43731,"Wed, 19 Dec 2018 23:08:41 GMT"
Add New Companies and Contacts for a Bid Form (Beta),415,https://support.procore.com/products/online/user-guide/project-level/bidding/tutorials/add-new-companies-and-contacts-for-a-bid-form,161026,"Wed, 18 May 2022 01:28:40 GMT"
Record Changes to Production Quantities in a Change Event,415,https://support.procore.com/products/online/user-guide/project-level/change-events/tutorials/record-changes-to-production-quantities-in-a-change-event,90304,"Wed, 15 Jul 2020 15:46:35 GMT"
View Approval Workflow Templates in Portfolio Financials,414,https://support.procore.com/products/portfolio-financials/user-guide/approval-workflows/tutorials/view-approval-workflow-templates-in-portfolio-financials,86363,"Mon, 15 Jun 2020 18:21:48 GMT"
View an Accountant Report for QuickBooks,414,https://support.procore.com/integrations/quickbooks/tutorials/view-an-accountant-report-for-quickbooks,8089,"Tue, 07 Jun 2016 16:57:14 GMT"
Create an Inspection from a Location (Android),414,https://support.procore.com/procore-mobile-android/user-guide/locations-android/tutorials/create-an-inspection-from-a-location-android,27089,"Fri, 08 Dec 2017 18:06:22 GMT"
View and Manage Daily Logs in the Calendar View (iOS),413,https://support.procore.com/procore-mobile-ios/user-guide/daily-log-ios/tutorials/view-and-manage-daily-logs-in-the-calendar-view-ios,59456,"Wed, 02 Oct 2019 20:14:22 GMT"
About the Portfolio Financials Data Exchange for Payables,413,https://support.procore.com/integrations/data-exchange-for-payables/tutorials/about,63438,"Fri, 22 Nov 2019 16:11:47 GMT"
View API Request Metrics,412,https://support.procore.com/products/online/user-guide/company-level/admin/tutorials/view-api-request-metrics,58659,"Tue, 24 Sep 2019 20:34:48 GMT"
