"title","views","url","id","dateCreated","lastThirty"
"Create Custom Portfolio Reports","4766","https://support.procore.com/products/online/user-guide/company-level/portfolio/tutorials/create-custom-portfolio-reports","1888","Thu, 05 Mar 2015 23:14:08 GMT",125
"Approve a Prime Contract","4756","https://support.procore.com/products/online/user-guide/project-level/prime-contracts/tutorials/approve-a-prime-contract","2454","Mon, 20 Apr 2015 21:35:59 GMT",57
"View the User Sessions Report for a Project","4734","https://support.procore.com/products/online/user-guide/project-level/reports/tutorials/view-the-user-sessions-report-for-a-project","1585","Wed, 25 Feb 2015 18:27:36 GMT",126
"Delete a Drawing Set","4717","https://support.procore.com/products/online/user-guide/project-level/drawings/tutorials/delete-a-drawing-set","983","Tue, 03 Feb 2015 01:16:17 GMT",93
"Configure Advanced Settings: Prequalifications","4698","https://support.procore.com/products/online/user-guide/company-level/prequalifications/tutorials/configure-advanced-settings-prequalifications","70914","Tue, 18 Feb 2020 19:24:05 GMT",128
"Send a Completed Company or User Import Template to Procore","4676","https://support.procore.com/products/online/user-guide/company-level/directory/tutorials/send-a-completed-company-or-user-import-template-to-procore","29368","Tue, 13 Feb 2018 23:14:57 GMT",40
"Edit the Advanced Settings Tab on a Commitment","4666","https://support.procore.com/products/online/user-guide/project-level/commitments/tutorials/edit-the-advanced-settings-on-a-commitment","12293","Mon, 19 Dec 2016 19:14:12 GMT",81
"Create Your Company's Default Work Breakdown Structure","4633","https://support.procore.com/products/online/user-guide/company-level/admin/tutorials/create-your-companys-default-work-breakdown-structure","130022","Wed, 26 May 2021 21:52:17 GMT",362
"Configure Your Company For the Timecard Tool","4627","https://support.procore.com/products/online/user-guide/company-level/timecard/tutorials/configure-your-company-for-the-timecard","2481","Wed, 29 Apr 2015 22:33:29 GMT",86
"Set up a Project Directory","4612","https://support.procore.com/products/online/user-guide/project-level/directory/tutorials/set-up-a-project-directory","6248","Wed, 09 Mar 2016 19:00:56 GMT",89
"Add a Custom Program","4605","https://support.procore.com/products/online/user-guide/company-level/admin/tutorials/add-a-custom-program","4244","Fri, 25 Sep 2015 19:12:23 GMT",100
"Export an RFI","4581","https://support.procore.com/products/online/user-guide/project-level/rfi/tutorials/export-an-rfi","18560","Tue, 23 May 2017 19:55:18 GMT",75
"Edit a Company Permissions Template","4572","https://support.procore.com/products/online/user-guide/company-level/permissions/tutorials/edit-a-company-permissions-template","106847","Mon, 02 Nov 2020 21:05:53 GMT",319
"Submittal Builder: Add Submittals","4561","https://support.procore.com/products/online/user-guide/project-level/specifications/tutorials/submittal-builder-add-submittals","34116","Tue, 22 May 2018 21:34:25 GMT",114
"Configure Cost Code Preferences for ERP","4530","https://support.procore.com/integrations/quickbooks/tutorials/configure-cost-code-preferences-for-quickbooks","7016","Tue, 22 Mar 2016 22:39:28 GMT",82
"Add Measurements to a Drawing (iOS)","4523","https://support.procore.com/procore-mobile-ios/user-guide/drawings-ios/tutorials/add-measurements-to-a-drawing-ios","15866","Thu, 23 Mar 2017 22:45:08 GMT",76
"Remove a Change Order from a Prime Contract","4519","https://support.procore.com/products/online/user-guide/project-level/prime-contracts/tutorials/remove-a-change-order-from-a-prime-contract","2170","Fri, 20 Mar 2015 16:30:53 GMT",81
"Configure Service Account Permissions","4491","https://support.procore.com/products/online/user-guide/company-level/admin/tutorials/configure-service-account-permissions","28004","Tue, 09 Jan 2018 23:41:23 GMT",26
"Manage Permissions for Company Level Documents","4482","https://support.procore.com/products/online/user-guide/company-level/documents/tutorials/manage-permissions-for-company-level-documents","25508","Wed, 25 Oct 2017 20:25:14 GMT",122
"Edit a Prime Contract","4482","https://support.procore.com/products/online/user-guide/project-level/prime-contracts/tutorials/edit-a-prime-contract","2210","Thu, 26 Mar 2015 16:01:43 GMT",95
"Add Employees to a Timesheet","4480","https://support.procore.com/products/online/user-guide/project-level/timesheets/tutorials/add-employees-to-a-timesheet","24816","Mon, 09 Oct 2017 21:12:49 GMT",61
"About Inspection Template Syncing","4463","https://support.procore.com/products/online/user-guide/project-level/inspections/tutorials/about-inspection-template-syncing","14584","Mon, 06 Feb 2017 19:42:21 GMT",55
"Add a New Payment to the Payments Issued Tab of a Commitment","4459","https://support.procore.com/products/online/user-guide/project-level/commitments/tutorials/add-a-new-payment-to-the-payments-issued-tab-on-a-commitment","2274","Wed, 01 Apr 2015 23:34:12 GMT",73
"Delete Spec Section Revisions","4458","https://support.procore.com/products/online/user-guide/project-level/specifications/tutorials/delete-spec-section-revisions","4627","Mon, 26 Oct 2015 23:31:21 GMT",60
"Download a Project Level Form","4444","https://support.procore.com/products/online/user-guide/project-level/forms/tutorials/download-a-project-level-form","24465","Fri, 22 Sep 2017 23:09:33 GMT",63
"Add Favorites to the Company Tools Menu","4440","https://support.procore.com/products/online/user-guide/company-level/portfolio/tutorials/add-favorites-to-the-company-tools-menu","22025","Mon, 24 Jul 2017 18:09:26 GMT",161
"Generate a QR Code for a Submittal","4435","https://support.procore.com/products/online/user-guide/project-level/submittals/tutorials/generate-a-qr-code-for-a-submittal","838","Thu, 29 Jan 2015 17:56:23 GMT",63
"Update Expiring Insurance for a Vendor in the Company Directory","4413","https://support.procore.com/products/online/user-guide/company-level/directory/tutorials/update-expiring-insurance-for-a-vendor-in-the-company-directory","11995","Wed, 23 Nov 2016 16:19:36 GMT",82
"Associate a Model with a Procore Project","4404","https://support.procore.com/products/online/user-guide/project-level/coordination-issues/tutorials/associate-a-model-with-a-procore-project","37623","Wed, 22 Aug 2018 23:43:38 GMT",72
"Add a Goods & Services Tax (GST) to a Budget","4389","https://support.procore.com/products/online/user-guide/project-level/budget/tutorials/add-a-gst-to-a-budget","8083","Thu, 02 Jun 2016 22:40:51 GMT",88
"Add a Related Item to a Daily Log Entry","4388","https://support.procore.com/products/online/user-guide/project-level/daily-log/tutorials/add-a-related-item-to-a-daily-log-entry","10361","Thu, 01 Sep 2016 17:01:58 GMT",78
"Change a Drawing Version's Number","4382","https://support.procore.com/products/online/user-guide/project-level/drawings/tutorials/change-a-drawing-versions-number","40955","Fri, 02 Nov 2018 22:11:30 GMT",88
"View a Subcontract","4359","https://support.procore.com/products/online/user-guide/project-level/commitments/tutorials/view-a-subcontract","2281","Thu, 02 Apr 2015 16:48:46 GMT",188
"Export a Daily Log as PDF","4352","https://support.procore.com/products/online/user-guide/project-level/daily-log/tutorials/export-a-daily-log-as-pdf","4107","Tue, 25 Aug 2015 21:04:47 GMT",106
"Enable Submittal Schedule Calculations","4348","https://support.procore.com/products/online/user-guide/project-level/submittals/tutorials/enable-submittal-schedule-calculations","5513","Tue, 02 Feb 2016 20:33:30 GMT",73
"Edit a Change Event","4348","https://support.procore.com/products/online/user-guide/project-level/change-events/tutorials/edit-a-change-event","22915","Tue, 08 Aug 2017 18:32:32 GMT",204
"Review RFQ Responses","4339","https://support.procore.com/products/online/user-guide/project-level/change-events/tutorials/review-rfq-responses","22927","Tue, 08 Aug 2017 20:41:45 GMT",92
"Upload a Project Logo","4335","https://support.procore.com/products/online/user-guide/project-level/admin/tutorials/upload-a-project-logo","2061","Wed, 11 Mar 2015 23:53:26 GMT",40
