"title","views","url","id","dateCreated","lastThirty"
"Request Company and People Imports","89645","https://support.procore.com/products/online/user-guide/company-level/directory/tutorials/request-company-and-people-imports","29353","Tue, 13 Feb 2018 20:47:41 GMT",118
"Home","89347","https://support.procore.com/products/online/user-guide/project-level/home","1201","Wed, 11 Feb 2015 20:04:13 GMT",1375
"Project Level","88079","https://support.procore.com/products/online/user-guide/project-level","358","Wed, 31 Dec 2014 19:35:45 GMT",2805
"Budget","85242","https://support.procore.com/products/online/user-guide/project-level/budget","537","Sun, 18 Jan 2015 14:36:15 GMT",1484
"Create a New Project","84637","https://support.procore.com/products/online/user-guide/company-level/portfolio/tutorials/create-a-new-project","1746","Tue, 03 Mar 2015 17:34:08 GMT",1734
"Add Phone Calls Entries (iOS)","83910","https://support.procore.com/procore-mobile-ios/user-guide/daily-log-ios/tutorials/add-phone-calls-entries-ios","10709","Thu, 08 Sep 2016 21:38:50 GMT",1274
"Grant Granular Permissions in a Project Permissions Template","82085","https://support.procore.com/products/online/user-guide/company-level/permissions/tutorials/grant-granular-permissions-in-a-project-permissions-template","67800","Sat, 18 Jan 2020 00:53:28 GMT",3171
"Photos","79711","https://support.procore.com/products/online/user-guide/project-level/photos","461","Fri, 16 Jan 2015 17:28:12 GMT",1500
"Schedule","79545","https://support.procore.com/products/online/user-guide/project-level/schedule","512","Sat, 17 Jan 2015 15:22:19 GMT",1451
"Configure a Project Template","77438","https://support.procore.com/products/online/user-guide/company-level/portfolio/tutorials/configure-a-project-template","19338","Wed, 07 Jun 2017 21:14:47 GMT",1351
"Why did I receive an error message in Procore?","77051","https://support.procore.com/faq/why-did-i-receive-an-error-message-in-procore","22721","Fri, 04 Aug 2017 16:40:22 GMT",3635
"What are Procore's default cost codes?","76915","https://support.procore.com/faq/what-are-procores-default-cost-codes","8087","Mon, 06 Jun 2016 20:57:07 GMT",1685
"Meetings","76561","https://support.procore.com/products/online/user-guide/project-level/meetings","449","Fri, 16 Jan 2015 17:09:31 GMT",1222
"Create an RFI","76309","https://support.procore.com/products/online/user-guide/project-level/rfi/tutorials/create-an-rfi","853","Thu, 29 Jan 2015 19:52:43 GMT",1315
"What is the difference between SP- and IdP-Initiated SSO?","76054","https://support.procore.com/faq/what-is-the-difference-between-sp-and-idp-initiated-sso","15979","Thu, 30 Mar 2017 15:18:29 GMT",1687
"Upload Drawings","74740","https://support.procore.com/products/online/user-guide/project-level/drawings/tutorials/upload-drawings","989","Tue, 03 Feb 2015 01:29:22 GMT",1584
"How can I improve the accuracy of OCR on my drawings?","72764","https://support.procore.com/faq/how-can-i-improve-the-accuracy-of-ocr-on-my-drawings","5959","Wed, 02 Mar 2016 22:52:05 GMT",738
"Integrations","72340","https://support.procore.com/integrations","396","Thu, 08 Jan 2015 07:38:12 GMT",2006
"Directory","70960","https://support.procore.com/products/online/user-guide/company-level/directory","570","Mon, 19 Jan 2015 20:58:23 GMT",864
"Change Orders","70627","https://support.procore.com/products/online/user-guide/project-level/change-orders","479","Fri, 16 Jan 2015 18:56:08 GMT",1253
"Inspections","69546","https://support.procore.com/products/online/user-guide/project-level/inspections","752","Tue, 27 Jan 2015 21:01:23 GMT",1156
"Account Setup","67138","https://support.procore.com/customer-success/implementation-roadmap/1-account-setup","9429","Mon, 01 Aug 2016 16:18:10 GMT",992
"User Guide","66917","https://support.procore.com/procore-mobile-android/user-guide","1655","Thu, 26 Feb 2015 23:56:01 GMT",1641
"Procore Web (app.procore.com)","65423","https://support.procore.com/products/online","273","Fri, 19 Dec 2014 18:25:27 GMT",1270
"Forms","62969","https://support.procore.com/products/online/user-guide/project-level/forms","24030","Mon, 11 Sep 2017 21:19:23 GMT",955
"Videos","61694","https://support.procore.com/products/online/user-guide/project-level/submittals/videos","501","Fri, 16 Jan 2015 23:42:09 GMT",1098
"Submit a New Invoice as an Invoice Contact","61474","https://support.procore.com/products/online/user-guide/project-level/commitments/tutorials/submit-a-new-invoice-as-an-invoice-contact","11210","Wed, 19 Oct 2016 17:47:12 GMT",1484
"Directory","61169","https://support.procore.com/products/online/user-guide/project-level/directory","551","Sun, 18 Jan 2015 15:12:40 GMT",843
"Procore for iOS: Release Notes","59460","https://support.procore.com/procore-mobile-ios/release-notes","1503","Sun, 22 Feb 2015 09:32:04 GMT",1332
"Add a Task","59444","https://support.procore.com/products/online/user-guide/project-level/tasks/tutorials/add-a-task","23886","Wed, 06 Sep 2017 18:29:23 GMT",392
"Invoicing","58466","https://support.procore.com/products/online/user-guide/project-level/invoicing","44050","Wed, 02 Jan 2019 19:07:57 GMT",1765
"What is a submittal?","58234","https://support.procore.com/faq/what-is-a-submittal","1707","Mon, 02 Mar 2015 17:12:24 GMT",1227
"Change Events","57291","https://support.procore.com/products/online/user-guide/project-level/change-events","4114","Fri, 28 Aug 2015 00:09:26 GMT",1699
"Specifications","56478","https://support.procore.com/products/online/user-guide/project-level/specifications","4269","Mon, 28 Sep 2015 17:59:29 GMT",1021
"Procore Mobile (iOS)","56465","https://support.procore.com/procore-mobile-ios","286","Tue, 23 Dec 2014 22:57:23 GMT",761
"Admin","56372","https://support.procore.com/products/online/user-guide/project-level/admin","563","Mon, 19 Jan 2015 20:25:59 GMT",780
"Import a Budget","55711","https://support.procore.com/products/online/user-guide/project-level/budget/tutorials/import-a-budget","1075","Thu, 05 Feb 2015 19:10:51 GMT",1145
"Compare Drawing Revisions","54948","https://support.procore.com/products/online/user-guide/project-level/drawings/tutorials/compare-drawing-revisions","932","Mon, 02 Feb 2015 18:36:13 GMT",1260
"Grant Granular Permissions in a Permission Template","53328","https://support.procore.com/products/online/user-guide/company-level/directory/tutorials/grant-granular-permissions-in-a-permission-template","13790","Fri, 20 Jan 2017 21:40:23 GMT",33
"Create a Standard Project Folder Structure for the Documents Tool","53265","https://support.procore.com/products/online/user-guide/project-level/documents/tutorials/create-a-standard-project-folder-structure-for-the-documents-tool","4173","Tue, 15 Sep 2015 18:11:00 GMT",1023
"Procore Imports","52663","https://support.procore.com/products/procore-imports","50458","Thu, 02 May 2019 22:43:36 GMT",2043
"Install Procore Sync","52462","https://support.procore.com/products/procore-sync/tutorials/install-procore-sync","13130","Wed, 04 Jan 2017 21:22:17 GMT",103
"Review and Confirm Drawings","52419","https://support.procore.com/products/online/user-guide/project-level/drawings/tutorials/review-and-confirm-drawings","19764","Fri, 09 Jun 2017 23:58:36 GMT",1239
"Videos","51105","https://support.procore.com/products/online/user-guide/project-level/drawings/videos","496","Fri, 16 Jan 2015 23:31:15 GMT",837
"Videos","50433","https://support.procore.com/products/online/user-guide/project-level/documents/videos","492","Fri, 16 Jan 2015 22:49:38 GMT",1050
"Prime Contracts","50202","https://support.procore.com/products/online/user-guide/project-level/prime-contracts","544","Sun, 18 Jan 2015 14:58:47 GMT",818
"How do I navigate Procore's tools?","49415","https://support.procore.com/faq/how-do-i-navigate-procores-tools","1886","Thu, 05 Mar 2015 22:43:41 GMT",1002
"Install Procore Extracts","48871","https://support.procore.com/products/procore-extracts/user-guide/tutorials/install-procore-extracts","48750","Tue, 26 Mar 2019 21:36:49 GMT",1431
"About the QuickBooks® Desktop Connector","48645","https://support.procore.com/integrations/quickbooks/about-the-quickbooks-connector","5040","Mon, 28 Dec 2015 18:16:43 GMT",1124
"Admin","48303","https://support.procore.com/products/online/user-guide/company-level/admin","622","Mon, 19 Jan 2015 23:12:03 GMT",911
"Setup Guide","47844","https://support.procore.com/products/procore-imports/setup-guide","50467","Thu, 02 May 2019 22:43:36 GMT",1637
